SENTENCE A,SENTENCE B,label
a child is playing with a water spout outdoors and the rest of his family is watching,a hose is being held by a boy next to a man and another boy is watching,0
two dogs are running and carrying an object in their mouths,two dogs are walking and carrying a toy in their mouths,1
the brown dog is spotting a black dog and is playing in the dry grass,the brown dog is spotting a black dog lying in the dry grass,0
a woman is slicing an octopus,a man is playing the instrument,0
a black dog is jumping from n hay ball to another hay ball,a black dog is jumping from a cylindrical hay bale,0
a boy is standing in front of the blue building in the space reserved for handicapped people,there is no boy standing in front of the blue building in the space reserved for handicapped people,1
the boy is riding a bike on the top of a metal fence,the boy is not riding a bike on the top of a metal fence,1
a woman wearing a blue and white uniform with a white and blue hat is keeping her mouth open and is near others dressed in the same fashion,there is no woman wearing a blue shirt with a white vest and a white cap talking and marching,0
a toddler is making a splash outside a blue paddling pool,the child is splashing water in a small blue pool,0
a person is standing in front of a rock with a rope which is pink,a person is climbing a rock with a rope which is pink,0
the football is between the feet of a boy who is lying on the grass,a football player is falling into the grass to dodge a little kid,0
a lady is standing on the street and is surrounded by kids,a woman in blue jeans is standing in front of a group of children beside a stone built house,0
a guy is riding a horse,a guy is not riding a horse,1
a boy in a striped shirt is jumping in front of a water fountain,a boy is jumping on the side of a stone water fountain in front of a building,0
a dog is playing on the green grass,a brown and white cat is playing on the grass,0
someone is boiling okra in a pot,someone is cooking okra in a pan,0
the boy is cutting the grass by the curb with scissors,there is no boy cutting grass with scissors,1
i never thought id see your face again,i always thought id see your face again,1
a large brown dog is jumping over a red hurdle,a brown and white dog is jumping over a red yellow and white barrier,0
it was stiflingly hot,it was not hot,1
a woman in a fur hat and fur coat is standing outside a building,the elderly lady is waiting on the sidewalk,0
some cheerleaders are taking a break,a female cheerleader is sitting on the knee of a man,0
no people are riding camels at the beach,people are riding two camels at the beach,1
two men are doing a funny skit with a boxer in front of a crowd of people,two men with a dog are boring a crowd of people,0
the black dog is walking along a tree trunk bridge over water,there is no dog crossing a river on a bridge made from a fallen tree,1
a man is not playing keyboards,a man is riding a mechanical bull,0
a boy who is wearing a blue coat is being held by his father under an umbrella ,a child is experiencing a new world,0
the brown dog is not playing outdoors,the furry brown dog is running through the grassy area,0
the boy isnt playing the piano happily,a piano is being played by a man,0
a man is talking on the phone,a man is not talking on the phone,1
a man is playing baseball with a flute,a man is playing soccer,0
someone is scratching the belly of an animal,there is no woman stroking a lemur,0
a child is playing slip and slide in the grass,a child is not playing slip and slide in the grass,1
"Yes, it comes with battery and charger. I bought it for my mother in law and she has an exiting VZ plan. She has no problem to continue with her exiting plan.",It doesn't  come with a battery.  My father took it to verzion a d they activated the phone for him.,1
the small bee is landing on a bunch of yellow flowers,a bee is clinging to a yellow flower,0
there is no guy leaping into the air in a wooded area,a shirtless man is jumping over a log,0
a fish is swimming,the fish are immobile,1
two children are rolling in muddy water,two boys are laying in the ocean far to the beach,0
the man is not cutting the tape on the box,a man is cutting a box,0
the man is doing a magic trick,the kid who is doing magic is tricking an old man,0
the man is not playing a flute,a man is playing a bamboo flute,1
a crowd of people is near the water,a group of children wearing the same clothes is waiting at a gate and one is kissing the mother,0
a dog with a blanket dyed in blue is running through the grass,a dog with a muzzle and a blue jacket is running around the yard,0
the baby is being put into a trash can by a woman,a person is putting meat into a skillet carelessly,0
five people are running with three dogs in the green field beside the road,five people are standing with three dogs in the green field beside the road,0
a topless person with a back pack is in front of a pile of rocks and clouds are in the background,a fully dressed person is behind a pile of rocks and a clear sky is in the background,0
two women are wearing bikinis on the sandy beach,two women are naked and are standing on the sand,0
the woman is not cutting a carrot,the woman is cutting a carrot,1
there is no dog running and carrying an object in its mouth,a dog is chasing another and is holding a stick in its mouth,1
some swimmers are getting out of a lake,several swimmers are jumping into the water,0
the black dog is walking along a tree trunk bridge over water,a dog is crossing a river on a bridge made from a fallen tree,0
a few animals are out of the water,a few animals are playing in the water,0
a woman who is wearing a pink boa is riding a bicycle down a bridge built for pedestrians,the woman wearing silver pants pink bellbottoms and a pink scarf is riding a bike,0
there is no brown dog staring attentively at a brown and white dog,the little dog is grabbing the bedroom slipper with its mouth,0
the man is playing the flute,a man is playing the guitar,0
a young couple is lying on a couch together,a young couple is lying in bed,0
a hockey player in a yellow jersey is guarding the goal,there is no hockey player in a yellow jersey guarding the goal,1
a man is dangerously throwing knives at a tree,a magic trick is being performed by the magician,0
two people are in the snow wearing clothes that provide camouflage,two people are walking two dogs with golden coats in the snow,0
a rope is being climbed by a man,a man is mindlessly slicing the carrot with a machine,0
a racer in full gear is wearing a helmet with sponsor logos and is riding a red sport motorcycle,a racer in full gear wears a helmet with sponsor logos and is riding a blue sport motorcycle,0
a woman is storing broccoli,the woman is chopping garlic,0
the man is chopping a tree trunk with an axe,one man is chopping a log with an axe,0
a tiger cub is making a sound,a tiger is not walking around,0
a group of boys in a yard is playing and a man is not standing in the background,a group of kids is playing in a yard and an old man is standing in the background,1
a cat is playing keyboards,there are no men fighting,0
a man is standing still,a man is dancing,0
a person is strongly whisking eggs in a bowl,a woman is beating the man that is keeping two eggs in the bowl using a wire whisk ,0
a woman is frying meat,a woman is placing food in a pot of hot water,0
a dog which is brown and a black one are racing in the grass,a dark black dog and a light brown dog are playing in the backyard,0
the ball is being dunked by a man with a jersey at a basketball game,a man without a jersey is dunking the ball at a basketball game,1
two men are not fighting,some men are fighting,0
two white dogs and one brown dog are not chasing a ball,two white dogs and one brown dog are chasing a ball,1
there is no man standing in the middle of a gym and is wearing a jersey,a man in a black jersey is standing in a gym,0
two dogs are fighting for a frisbee in a lake,two brown dogs are playing with a frisbee in the water,0
a man is drawing some figures,a man is strolling in the rain,0
nobody is pouring ingredients into a pot,someone is pouring ingredients into a pot,1
a man in a black jersey is standing in a gym,a woman in a black jersey is standing in a gym,0
the skateboarder is jumping in the air,a man in a red shirt is doing a trick with the skateboard,0
there is no boy standing in front of the blue building in the space reserved for handicapped people,a boy is standing in front of the blue building in the space reserved for handicapped people,1
there is no man sharpening a knife,a man is carrying a woman,0
the man is not cutting a paper plate,the man is cutting a paper plate,1
the person is riding a motorbike on a sandy track,a man is riding a motorbike in the event related to motocross,0
a baby is crawling happily,a cat is walking on the parquet,0
someone is giving food to an animal,the piano isnt being played by anyone,0
we have a choice,we have no choice,1
a cat is playing a piano,a cat is sitting on a piano,0
a boy is playing a guitar,a boy is not playing a guitar,1
a dog which is little and black is chasing a little brown dog,a brown dog and a black dog are in the grass,0
there is no child holding a water gun or getting sprayed with water,a laughing child is holding a water gun and getting sprayed with water,1
there is no white dog wearing a christmas reindeer headband and playing with a brown dog in the grass,the white dog wearing reindeer ears is near a brown dog,0
a boy in a strange outfit is riding the bike,a woman is wearing paint and costume pieces and is riding a bike on a busy street,0
a man is holding a mask in his raised hand,a man elegantly dressed in black is wearing an elaborate black mask,0
two people are playing ping pong,a few animals are out of the water,0
a policeman is sitting on a motorcycle,a motorcyclist is sitting by a police man,0
there is no man shooting a shotgun,a man is firing a shotgun,1
a dog is teasing a monkey at the zoo,a monkey is teasing a dog at the zoo,0
a panda bear is eating some bamboo,there is no panda bear eating some bamboo,1
the children are playing behind a large door,a bunch of boys are playing with a ball in front of a large door made of wood,1
a dog with a golden coat is walking out of the water,a dog with a golden coat is swimming through the water,0
a woman who is shoeless is sitting on a blanket under a lavender umbrella,the man is sitting outside under a purple umbrella,0
there is no man with a hard hat dancing,a man with a hard hat is dancing,1
a man is playing two keyboards,there is no man playing two keyboards,1
a blond boy is sliding down a sand dune on a skateboard,a woman is swiftly snowboarding down an incline and another woman is standing behind her,0
a woman is taking two eggs out of a pot of water,a woman is boiling eggs,0
a man is outside close to a target for blade throwing,a man is outside and is throwing blades at a close target,0
a small white dog is running across a lawn,a brown and white dog with a brown and black bandanna is quickly running ,0
a black and white dog is playing with a new volleyball,a black and white dog is playing with a broken volleyball,0
a wet boy is jumping around on dirty and wet grass,there is no young boy covered in grass jumping near a wooden fence,0
three dogs are resting on a couch,three dogs are resting on a sidewalk,0
a large tennis ball is being used to teach a dog to run in the grass and catch it with its mouth,a dog which is large and gray is carrying a ball in its mouth and running across the grass,0
the man is driving a car,there is no window being cleaned by a man,0
a deer isnt jumping over the fence,a deer is jumping over a fence,1
a man on a motorcycle is riding on a track and waving,the person on the motorcycle is holding up his arm,0
a brown dog and a black dog are playing in the sand,there is no brown dog and black dog playing in the sand,1
the man is hammering a nail with a camera,the camera man is nailing a hammer to the wall,0
the helmeted girl is riding a bike,a woman is performing a trick on a ramp with a bicycle,0
the man is aiming a gun,a girl is playing on a toy phone,0
a woman is cutting an onion,there is no woman cutting an onion,1
a biker is wearing gear which is black,a biker is naked,1
a woman is pouring a mixture into a bowl and mixing it,a woman is taking a mixture out of a bowl,0
a wet boy is jumping around on dirty and wet grass,a young boy is jumping and covering nearby wooden fence with grass,0
a black dog is leaping from a hay ball to another hay ball,a black dog is leaping from a cylindrical hay bale,0
a man is spreading dough,there is no woman slicing meat with a knife,0
a woman is removing ingredients from a bowl,a woman is adding ingredients to a bowl,1
a man is opening a package that contains headphones,there is no man singing and playing the guitar,0
a person is wearing a hat and is sitting on the grass,a person is sitting in a field and is wearing a hat,0
the lady is adding cheese to the sauce,a man is pouring a plate of shredded cheese into a pot of sauce,0
a man is diving into a pool,a man is jumping out of a pool,0
the woman is cutting a carrot,there is no woman slicing an onion,0
a girl is riding a horse,the boy is trotting on the horse,0
a woman is slicing tofu,a man is slicing butter,0
the person is not standing on white ice,a woman is peeling a potato,0
a dog which is brown and a black one are running in the grass,a dark black dog and a light brown dog are playing in the backyard,0
a dog is running with a volleyball,the black dog is carrying a blue and white toy in its mouth,0
an asian woman in a crowd is carrying a black bag,a cramped black train is on the bag of a girl,0
a man is dancing,a man is walking in a yard,0
a woman is breaking two eggs in a bowl,there is no woman breaking eggs in a bowl,1
the little girl is swinging and the woman is standing behind her,the girl is standing behind the little woman who is swinging,1
three young men are running jumping and kicking near a vending machine,three men are jumping on a wall,0
a dog is standing with its two front paws on a rock in a field,a black climber is rocking a dog,0
a motorcyclist with a blue helmet is riding a blue motorcycle down the road,a man with a helmet painted red is riding a blue motorcycle down the road,1
a young man is sitting in swimming gear,a young girl is wearing a blue patterned swim suit a black and yellow swim cap and has blue swimming goggles on her head,0
a soccer player is being tackled by his opponent,there is no soccer player who is being tackled by an opponent,1
the elderly lady is waiting on the sidewalk,a woman in a fur hat and fur coat is sitting outside a building,0
the brown horse is near a red barrel at the rodeo,the brown horse is far from a red barrel at the rodeo,1
a woman is cracking eggs into a bowl,there is no woman placing skewers onto a rack,0
a woman is chopping broccoli,the woman is chopping garlic,0
a dog is excitedly playing with water in the grass,a snap is depicting some water falling in droplets on the dog,0
many people are skating in an ice park,a lot of people are in an ice skating park,0
the young boy is running through the ocean waves,a child is staring at the ocean waves,0
skewers are being placed onto a rack by a woman,a dog is jumping high into the air in the country,0
there is no boy in a swimsuit sitting on top of a circular fountain,a boy in a swimsuit is sitting on top of a circular fountain,1
a woman is cutting meat,a woman is not cutting meat,1
a woman is bowling two eggs to a break dancer ,a baby is playing with a doll,0
a monkey is brushing the dog,there is no monkey brushing the dog,1
a man is shooting with a gun,a woman is rowing a boat,0
there is no black red white and pink dress being worn by a woman,a woman is taking off a cloak which is very large and revealing an extravagant dress,0
the young boy is climbing the wall made of rock,a young kid is climbing a rock climbing wall which is indoors,0
the bike rider is looking at an accident of another bike rider,a person is ignoring the motocross bike that is lying on its side and there is no one is racing by,0
a bird is fiercely flapping its wings on the water,a brown duck with a green head is flapping its wings in the water,0
the man is not doing floor exercises,a man is doing exercises,0
a blonde boy in green is standing on a swing,a little girl with blond hair is smiling and sitting on a swing,0
a family which looks happy is posing by the fireplace,a family is posing by the mantel and the christmas tree,0
someone is peeling a banana,there is no one peeling a banana,1
a woman is cracking some eggs outside a bowl,a man is participating in a bmx race,0
two people are standing in the ocean and watching the sunset,two people are wading through the water,0
the person is not slicing onions,the person is slicing onions,1
two cars for racing are on a road in front of a grassy parking area,a white car and a yellow car are racing down the track,0
the woman is seasoning the oil,there is no woman pouring ingredients into a bowl,0
a man is performing a jump on a bicycle,a cyclist is performing a jump on a bicycle,0
a boy and a girl in swimsuits are wearing floats for their arms,the boy and the girl are playing and wearing arm floats,0
four people are walking across thick snow and the sun is setting,four people are standing in thick snow and the sun is rising,0
the singer is playing the guitar at an acoustic concert for a woman,the woman is playing a guitar which is acoustic and singing,0
the female wearing pink gloves and a brown jacket is smiling in the snow,a young asian woman with pink gloves is standing in the snow,0
a child in a red outfit is jumping on a trampoline,a little boy in clothes dyed in red is jumping into the air,0
a man on a yellow sport bike is doing a wheelie and a friend on a black bike is catching up,the orange rider is not driving a motorcycle on one wheel,0
there is no monkey wading through a marsh,a monkey is wading through a marsh,1
a cat is sliding upside down under a sofa,a cat is crawling under a piece of furniture,0
the boy on the grass is lying and is hiding the football between his feet,the little kid is playing football and falling into the grass,0
i have paint on my shirt,i have shirt on my paint,1
It works great on my ERA I am not sure 100% sure about the ICON.  Although the same kit is sold by jawbone for both.,It does not work well with the ERA. I bought this to replace the original ear hook that came with my ERA and this one keeps on falling off my ERA. The semi circle shaped part that connects to the jawbone is too short.,1
a lone bicyclist is putting down a bike,a bicyclist is holding a bike over his head in a group of people,1
a person who plays soccer is kicking a ball into the goal,a soccer ball is rolling into a goal net,0
a small animal is singing,a person is slicing some onions,0
a young girl in a winter coat is jumping off a boulder into the sand at a beach,a girl is jumping off a rock and another is standing on it,0
there is no classroom full of students looking in the same direction inside a bamboo structure,a classroom full of students is looking in the same direction inside a bamboo structure,1
a flute is being played by a man,a flute isnt being played by a man,1
the woman is putting away a flute,a woman is playing flute,0
the player in purple white and black is not playing near the end of the field,the player in purple white and black is playing near the end of the field,1
a woman is adding spices to some meat,the woman is adding sugar to the meat slowly,0
the person isnt practicing the guitar,the guitar is being played by a lady,0
ive been thinking about tom a lot,ive been thinking about tom a little,1
a white bird is swiftly taking off from the water,a white bird is landing swiftly in the water,0
the soccer player is not kicking the ball between somebodys legs,a person is kicking a soccer ball between their feet,0
a woman is pouring eggs into a frying pan,a man is petting two cats,0
a squirrel is running in circles,an animal is running tiredly in circles,0
there is no bicyclist jumping on a pyramid-shaped ramp,the tan dog is watching a brown dog that is swimming in a pond,0
the big surfer is riding and waving,the surfer is riding a big wave,0
i only need the healthy half,i only need the bad half,1
a dog is looking at a store counter,a dog is looking around,0
a man is playing the drums,guitar is being played by a man,0
a dog is rolling on the ground,a dog is sleeping on the ground,0
a boy under an umbrella is being held by his father who is wearing a blue coat,a child is amazedly experiencing a new world,0
two men are standing in deep water,two men are walking through a river,0
one panda is climbing,a man is climbing a rope,0
children in red shirts are playing in the leaves,three kids are sitting in the leaves,0
an airplane is taking off,a plane is landing,0
a big dog and a small white dog are walking past each other,a big dog and a small white dog are playing together,0
the men are not packing suitcases into the trunk of a car,the men are putting suitcases into the trunk of a car,1
there is no woman being kissed by a man,two people are kissing near a crowd,0
the mans jumper is in the empty pool,a lone biker is jumping in the air,0
there is no man pouring oil into a pan,a man is pouring oil into a pan,1
there is no man frying a tortilla,a man is frying a tortilla,1
the little dog is grabbing the bedroom slipper with its mouth,a brown dog is staring attentively at a brown and white dog,0
the person is practicing the guitar,the guitar is being sold by a lady,0
a married couple is walking down the aisle,the bride is leaving the groom after the wedding,0
a woman is putting meat in a pan,a pan is being dropped over the meat,0
there is no child waking up,a girl is waking up,1
a group of people are dancing at a concert,a group of people are not dancing at a concert,1
a group of rollerbladers is lining up on the street,a group of rollerbladers is scattering on the street,0
a boy is sitting in a seat,a toddler is sitting down,0
a man with tattoos is lounging on a couch and is looking for a pencil,a cow is eating hay,0
a man is wearing a red jacket and standing beside a yellow canoe on some boulders with water in the background,a man in a red jacket is standing next to a yellow kayak on some rocks by the ocean,0
an old woman is carrying a lot of colorful scarves on the beach,a girl in gold and purple is holding a rainbow afghan,0
a man in a white hat is playing guitar on stage,four people are silently standing outdoors,0
a boy is spanking a man with a plastic sword,a boy is spanking a woman with a plastic sword,0
a young swimmer is sitting in a bathing suit and waiting for the next race,a young swimmer is standing in a bathing suit and waiting for the next race,0
nobody is playing the guitar,a man is playing the guitar,1
a woman is exercising,a man is not dancing,0
a man is getting a garage for the car,a man is getting into a car,0
a man is thinking,a person is sitting,0
three men are lying on a hill and looking at the mountains and sky,three men are sitting on a hill and looking at the mountains and sky,0
a group of people is standing together and looking at the camera,there is no group of people standing together and looking at the camera,1
a man is looking into the distance and people is walking between buildings behind,a black man is walking next to a shop in a big city,0
a young man on a bmx bicycle is jumping off a masonry pyramid,a man on a bike is jumping on a pyramid-shaped ramp,0
two people in snowsuits are lying in the snow and making snow angels,two angels are making snow on the lying children,0
a woman is taking eggs out of a bowl,a woman is cracking eggs into a bowl,0
a man is slicing a bun,there is no man slicing a bun,1
a costumed performer is singing and people are dancing,a clown is singing,0
a young boy isnt climbing a wall made of rock,the young boy is climbing the wall made of rock,1
a young man is pushing a motocross bike up a dirt hill,a young man is pushing a motocross bike down a dirt hill,0
a cute panda is lying down,the log is lying on the panda bear,0
the lady isnt cracking an egg for the mixer,the lady is cracking an egg for the mixer,1
a snowboarder is jumping through the air,a person wearing grey pants is airborne on a snowboard,0
a man is dancing on the floor,a famous singer is dancing on the ceiling,0
a man is standing in the water at the base of a waterfall,the man is standing in a lake near a waterfall,0
pedestrians and cars are moving through a traffic jam in a small city,some people and vehicles are on a crowded street,0
a mountain is being climbed by two men,one man is climbing a rock wall and another man is holding a rope,0
a banana is being peeled by a person,a man is reading an email,0
a baby is playing with a doll,there is no baby tiger playing with a ball,0
a large brown dog and a small grey dog are standing on a rocky surface,the brown dog is sniffing the back of a small black dog,0
the girl is riding the horse,the man is riding the horse,0
a person is doing a trick on a snowboard,a snowboarder is grinding down a long concrete rail,0
a woman is breaking two eggs in a bowl,a woman is bowling two eggs to a break dancer ,0
a dog with long hair and a red vest is running in the grass,the dog in the red vest is not running in the field,0
a model is wearing a purple shirt and black leather chaps and is posing for the camera,the man dressed in leather chaps and a purple shirt is standing in front of someone lookers,0
a dirty tan dog is rolling in the water and looking right at the camera,a dog is rolling on the ground,0
there is no monkey practicing martial arts,a monkey is kicking a person,0
two men are not holding fishing poles,two men are holding fishing poles,1
a woman is leaning on a racing motorcycle,a man is leaning on a racing motorcycle,0
a man on inline skates is skating at a skate park,a trick is being performed by a rollerblader on a ramp,0
the woman is walking the dog,a woman is rocking over a blanket lying on someone reading a book,0
a woman is slicing an onion,there is no woman slicing an onion,1
the man is granting an interview,a person is driving the white car,0
the boy is speedily riding a tricycle,a woman is riding a water scooter,0
a man is cutting a box,the man is cutting the tape on the box,0
a child in a green and white sports uniform is running over the grass,a little boy is wearing a green soccer strip and is running on the grass,0
there is no monkey teasing a dog at the zoo,a monkey is pulling a dogs tail,1
a black and orange bird is standing in the grass,a black and orange bird is not standing in the grass,1
a man is carving a hole in a piece of wood,a man is drilling a hole in a piece of wood,0
a man is wearing a clear plastic cap and a mask,a man by a brick wall is wearing a mask around his mouth and a hair net,0
there is no dog bouncing on a trampoline,a dog is bouncing on a trampoline,1
a woman is frying meat,a woman is placing food in a pot of cold water,0
a dog is dropping a can,a dog is opening a can of food,0
two dogs are fighting,two dogs are wrestling and hugging,0
there is no woman peeling a potato,a woman is peeling a potato,1
the young girl in blue is having fun on a slide,a girl in blue is sliding down a slide,0
a man is rinsing a large steak,a man is not rinsing a large steak,1
a woman is taking off a cloak which is very large and revealing an extravagant dress,a black red white and pink dress is being worn by a woman,0
a man is playing keyboards,a man is falling off a mechanical bull,0
people are sitting at round tables in a red room,people are sitting at square tables in a red room,0
a man is putting seasoning on a pizza,a man is putting some cheese on a pizza,0
the man is stirring the sauce for the chicken,the man is cooking sauce for the meat,0
a golden dog is running through a field of tall grass,a golden dog is sitting in a field of tall grass,0
a lady is standing on the street and is surrounded by school children,no lady is standing on the street and is surrounded by school children,1
a woman is cooking an egg in a skillet,a woman is pouring a mixture into a bowl and mixing it,0
the panda bear is lying on the logs,the log is lying on the panda bear,1
the practicing person doesnt like the guitar,the person is practicing the guitar,0
a young child is splashing in the water,the small child is not wading through the water and is not being guided by another person,0
a woman is wearing an egyptian headdress,an egyptian is wearing a womans headdress,0
a woman wearing a blue shirt and high heels is standing on the sidewalk next to the man,a man and a woman are standing on the curb,0
we appreciated your helping out,we appreciated your messing up,1
two people are kickboxing and spectators are not watching,two people are kickboxing and spectators are watching,1
there is no boy looking at a calendar,a boy is studying a calendar,1
norway is the richest country in the world,norway is the poorest country in the world,1
a man is cutting a fish,a woman is slicing a fish,0
different things from a war are being shown to some people by a veteran,a large man is sitting in a military accessories store,0
No,No it doesn't.  It is a phone jack size.  RJ-11,0
a cat is walking on a hardwood floor,there is no cat walking on a hardwood floor,1
the man is talking on the phone,the man isnt talking on the telephone,1
the boy is not cutting the grass by the curb with scissors,the boy is cutting the grass by the curb with scissors,1
a young boy is using sign language,a young girl is using sign language,0
a woman is cutting a fish,the man is slicing potatoes,0
"It gave me approx. three full additional charges at first. After about six months, it was down to two. After seven months, it stopped working entirely.",I have an iPhone 4S and it recharges my battery fully up to two times starting from my phone being dead,1
there is no man with a hard hat dancing,a man is wearing a hard hat and dancing,1
i prefer to do it by myself,i prefer to do it with others,1
the orange rescue boat is not rushing across the water,the orange rescue boat is rushing across the water,1
a person is not holding a skunk,a person is holding a skunk,1
the speaker likes parrots,a parrot is speaking,0
a little girl is playing a grand piano on stage,there is no little girl playing the piano,1
two kids are pushing an inflatable crocodile in a pool,two kids are pushing past a crocodile in an inflatable pool,0
three hikers are standing on a mountainside and looking at the view with a pair of binoculars,three men are sitting on a hill and looking at the mountains and sky,0
some dogs are not playing in a stream,some dogs are playing in a stream,1
the girl is carrying a sign and a group of people is following her,the girl is not carrying a sign and no group of people is following her,1
the woman is eating,a woman is mixing eggs,0
a person is sitting in a field and is wearing a hat,a man is sitting in a field,0
there is no large brown dog and small grey dog standing on a rocky surface,a large brown dog and a small grey dog are standing on a rocky surface,1
the dough used for pancakes is thin,the dough used for pancakes is thick,1
the bike is being ridden by a girl in a strange outfit,a woman is wearing paint and costume pieces and is riding a bike on a busy street,0
a rollerblader is performing a trick on a ramp,a man on inline skates is skating at a skate park,0
a person is playing a guitar and singing,the singer is hiring a person to fire the guitar player,0
the elderly lady is waiting on the sidewalk,a lady in a fur hat and fur coat is standing outside a building,0
the man is eating a banana by a tree,there is no man eating a banana,1
a young woman is carrying a lot of colorful scarves on the beach,a girl in gold and purple is holding a rainbow afghan,0
a woman is dancing,the singer is hiring a person to fire the guitar player,0
there is no person setting fire to the cameras,a person is burning some cameras with a blow torch,1
a young girl with painted face is standing next to some other children,kids are not dressed in costumes and playing a game,0
a cat is jumping into a container,a young man is talking to a leaf,0
two dogs of different breeds are looking at each other in a street,two dogs of different breeds are looking angrily at each other across a street,1
a woman is peeling a potato,there is no woman peeling a potato,1
an onion is being cut by a man,a man is opening a door,0
a dog is licking a baby,there is no dog licking a baby,1
several swimmers are jumping into the water,several jumpers are swimming in the water,0
there is no large group of cheerleaders walking in a parade,a large group of cheerleaders is walking in a parade,1
a woman is riding a horse,a woman is not riding a horse,1
